@relation 'regressione-weka.filters.unsupervised.attribute.Reorder-R2-last,1'

@attribute shares numeric
@attribute sentiment numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute fromUser {aa,ab,ac,ba,bb,bc,ca,cb,cc,a,b,c}
@attribute tk_aa numeric
@attribute tk_ab numeric
@attribute tk_ac numeric
@attribute tk_b numeric
@attribute tk_c numeric
@attribute tk_a numeric
@attribute tk_ba numeric
@attribute tk_bb numeric
@attribute tk_bc numeric
@attribute tk_ca numeric
@attribute tk_cb numeric
@attribute tk_cc numeric
@attribute tg_ba numeric
@attribute tg_bb numeric
@attribute tg_bc numeric
@attribute tg_ca numeric
@attribute tg_cb numeric
@attribute tg_cc numeric
@attribute tg_b numeric
@attribute tg_c numeric
@attribute tg_a numeric
@attribute tg_ac numeric
@attribute tg_aa numeric
@attribute tg_ab numeric
@attribute language {en}
@attribute predictedClass {training_regressione_class_pd,training_regressione_class_m5s}
@attribute favs numeric

@data
12,0.696274,0.263411,0.027008,a,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,en,training_regressione_class_m5s,3
13,0.300997,0.350586,0.291079,b,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,en,training_regressione_class_pd,8
13,0.138193,0.289996,0.90213,a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,en,training_regressione_class_m5s,18
19,0.447566,0.067788,0.638323,c,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,en,training_regressione_class_pd,11
19,0.857839,0.755589,0.558196,c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,en,training_regressione_class_m5s,10
18,0.550005,0.275944,0.236235,bc,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,en,training_regressione_class_m5s,4
10,0.042646,0.338478,0.885459,cb,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,en,training_regressione_class_pd,8
5,0.982129,0.805929,0.879736,b,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,en,training_regressione_class_pd,0
7,0.596161,0.090264,0.148176,cb,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,en,training_regressione_class_pd,18
8,0.224259,0.976578,0.10634,ab,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,en,training_regressione_class_m5s,9
15,0.202032,0.320678,0.387732,c,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,en,training_regressione_class_m5s,1
1,0.026869,0.842364,0.180096,cb,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,training_regressione_class_m5s,12
5,0.431251,0.078238,0.428803,cc,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,en,training_regressione_class_pd,14
18,0.538362,0.756178,0.087106,a,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,en,training_regressione_class_m5s,7
14,0.812074,0.267981,0.254435,a,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,en,training_regressione_class_m5s,5
0,0.551103,0.529589,0.663963,a,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,en,training_regressione_class_pd,1
17,0.393545,0.246032,0.243853,ba,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,en,training_regressione_class_pd,18
8,0.439489,0.105904,0.360863,a,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,en,training_regressione_class_m5s,4
2,0.896933,0.52717,0.4615,b,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,en,training_regressione_class_m5s,15
9,0.316685,0.093515,0.702333,aa,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,en,training_regressione_class_m5s,16
12,0.247186,0.224731,0.33562,ab,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,en,training_regressione_class_m5s,4
17,0.31901,0.584216,0.297534,ba,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,en,training_regressione_class_pd,5
14,0.300849,0.134161,0.236331,ba,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,en,training_regressione_class_pd,10
15,0.295727,0.388429,0.645813,ca,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,en,training_regressione_class_pd,9
1,0.09327,0.197292,0.137723,c,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,en,training_regressione_class_m5s,13
16,0.396439,0.174417,0.147978,bb,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,en,training_regressione_class_m5s,18
16,0.88812,0.059943,0.037139,ca,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,training_regressione_class_m5s,17
4,0.13857,0.800193,0.90205,cc,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,en,training_regressione_class_pd,19
0,0.091261,0.991226,0.994117,cc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,en,training_regressione_class_pd,3
13,0.001486,0.786596,0.390599,ab,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_m5s,16
15,0.17055,0.129703,0.917879,cc,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,en,training_regressione_class_pd,18
19,0.759928,0.265818,0.703901,cb,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,en,training_regressione_class_m5s,2
16,0.281912,0.193179,0.46006,c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,en,training_regressione_class_m5s,18
5,0.363243,0.225149,0.892679,b,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,en,training_regressione_class_pd,2
11,0.431294,0.89297,0.180775,ba,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,en,training_regressione_class_m5s,1
15,0.114891,0.569817,0.328531,c,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_m5s,7
19,0.140984,0.82309,0.885907,cc,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,en,training_regressione_class_pd,8
3,0.694553,0.223749,0.074954,c,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,en,training_regressione_class_m5s,6
15,0.346856,0.507546,0.909209,b,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,en,training_regressione_class_pd,6
16,0.02721,0.434215,0.428994,cc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,en,training_regressione_class_m5s,8
17,0.08024,0.596937,0.113843,bb,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,training_regressione_class_pd,2
9,0.242653,0.439007,0.224943,cc,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,en,training_regressione_class_m5s,11
11,0.728594,0.05068,0.382905,c,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,en,training_regressione_class_pd,7
16,0.111251,0.862804,0.273928,b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,en,training_regressione_class_m5s,8
